"category","category_rank","product_name","brand_or_store","search_query","top_rank","top_title","top_url","blog_name","date","search_image_count","post_image_count","post_chars","headings","tone","structure"
"가전/청소/주방가전","1","[넾다세일] 드리미 L10s Ultra Gen3 로봇청소기 사이드 브러시 엉킴 방지 열풍건조","드리미 한국 공식","드리미 한국 공식 드리미 L10s Ultra Gen3 로봇청소기 사이드","1","로봇청소기 고민 끝, 드리미 L10s Ultra Gen3 직접 써본 후기","https://blog.naver.com/apaa33/224329684452","쇼핑 천국","3일 전","6","6","2046","빈틈없는 청소 실력 / 조용하고 똑똑한 작동 / 하이엔드급 성능 / 강력한 흡입력의 매력","체험형, 추천형, 정보형, 비교형","사용 장면, 추천 대상, 구매 유도, 소제목 반복"
"가전/청소/주방가전","1","[넾다세일] 드리미 L10s Ultra Gen3 로봇청소기 사이드 브러시 엉킴 방지 열풍건조","드리미 한국 공식","드리미 한국 공식 드리미 L10s Ultra Gen3 로봇청소기 사이드","2","[넾다세일] 드리미 L10s Ultra Gen3 로봇청소기 솔직 후기: 엉킴 방지에 열풍건조까지, 가성비 끝판왕 등장!","https://blog.naver.com/rlaflsrud/224330456150","와라와라 블로거","10시간 전","5","5","1182","","체험형, 추천형, 정보형, 비교형","사용 장면, 추천 대상, 구매 유도"
"가전/청소/주방가전","1","[넾다세일] 드리미 L10s Ultra Gen3 로봇청소기 사이드 브러시 엉킴 방지 열풍건조","드리미 한국 공식","드리미 한국 공식 드리미 L10s Ultra Gen3 로봇청소기 사이드","3","[넾다세일] 드리미 L10s Ultra Gen3 로봇청소기 사이드 브러시 엉킴 방지 열풍건조드리미 한국 공식 대리점 핵심 정보 정리 | 가격&middot;특징&middot;구매처 완벽 안내","https://blog.naver.com/maru_230508/224327750294","진짜 핫딜","5일 전","0","1","948","","체험형, 추천형, 정보형, 비교형","결론/요약, 사용 장면, 구매 유도"
"가전/청소/주방가전","2","[슈퍼적립] 로보락 F25 Ace Pro 거품 진공 물걸레청소기","로보락","로보락 F25 Ace Pro 거품 진공","1","로보락 F25 Ace Pro 거품 진공 물걸레청소기 사용 후기 청소가 훨씬 편해졌어요","https://blog.naver.com/lkd8659/224316703831","기동이","3주 전","29","28","3011","","체험형, 추천형, 정보형, 비교형","결론/요약, 사용 장면, 사진 다량"
"가전/청소/주방가전","2","[슈퍼적립] 로보락 F25 Ace Pro 거품 진공 물걸레청소기","로보락","로보락 F25 Ace Pro 거품 진공","2","우리집 바닥 청소 끝판은 로보락 F25 Ace Pro로 거품 진공 무선청소기 활용법","https://blog.naver.com/rosa9406/224313813716","타악치료사","3주 전","22","22","1939","","체험형, 추천형, 정보형, 비교형","사용 장면, 장단점, 추천 대상, 구매 유도, 사진 다량"
"가전/청소/주방가전","2","[슈퍼적립] 로보락 F25 Ace Pro 거품 진공 물걸레청소기","로보락","로보락 F25 Ace Pro 거품 진공","3","완벽한 청소를 위한 로보락 F25 Ace Pro 거품 진공 물걸레 청소기","https://blog.naver.com/thesca1es/224267218583","천칭","2026.04.28.","27","28","2593","▲분리되는 오수통 / ​ ​ ​ ​ ​ ​ ​ / ▲누른 만큼 지속 분사","추천형, 정보형, 친근체","사용 장면, 구매 유도, 소제목 반복, 사진 다량"
"가전/청소/주방가전","3","삼성전자 냉장고 양문형 852L 오토오픈도어 RS84DG5202B4 젠틀블랙 솔라파워탈취","삼성공식파트너 현성전자","삼성공식파트너 현성전자 삼성전자 냉장고 양문형 오토오픈도어 RS84DG5202B4 젠틀블랙","1","삼성 양문형냉장고 RS84DG5602M9 오토오픈도어로 편하게","https://blog.naver.com/congsoon22/223611849928","라라","2024.10.08.","16","18","2684","","체험형, 추천형, 정보형, 비교형","결론/요약, 사용 장면, 장단점, 추천 대상, 사진 다량"
"가전/청소/주방가전","3","삼성전자 냉장고 양문형 852L 오토오픈도어 RS84DG5202B4 젠틀블랙 솔라파워탈취","삼성공식파트너 현성전자","삼성공식파트너 현성전자 삼성전자 냉장고 양문형 오토오픈도어 RS84DG5202B4 젠틀블랙","2","삼성 비스포크 오토오픈도어 양문형 냉장고 RS84DG5602M9 렌탈","https://blog.naver.com/rae7175/223729485360","acme","2025.01.18.","6","10","1366","","체험형, 비교형, 친근체","사용 장면, 장단점, 구매 유도, 사진 다량"
"가전/청소/주방가전","3","삼성전자 냉장고 양문형 852L 오토오픈도어 RS84DG5202B4 젠틀블랙 솔라파워탈취","삼성공식파트너 현성전자","삼성공식파트너 현성전자 삼성전자 냉장고 양문형 오토오픈도어 RS84DG5202B4 젠틀블랙","3","삼성 양문형 냉장고 RS84DG5002WW 852리터 2도어 신제품 구매했어요 ~","https://blog.naver.com/tak4791/223746282498","akskog의블로그","2025.02.03.","6","6","757","냉장고 전체샷 / 가득찼어요 ㅠ / #비스포크 #삼성양문형냉장고 #삼성2도어냉장고 #RS84DG5002WW ​ ​","체험형, 추천형, 정보형, 친근체","언박싱, 사용 장면, 구매 유도, 소제목 반복"
"가전/청소/주방가전","4","비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","VIVRE KOREA","VIVRE KOREA 비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","1","비브르 유선청소기 V16의 효율적인 청소 경험","https://blog.naver.com/itrsaokm68083/224048082721","아침과 저녁 사이","2025.10.21.","5","5","1171","출처-네이버이미지 / 출처-네이버이미지 / 출처-네이버이미지 / 출처-네이버이미지 / ​ ↑↑상세정보확인하기↑↑ ​","체험형, 비교형, 친근체","사용 장면, 장단점, 구매 유도, 소제목 반복"
"가전/청소/주방가전","4","비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","VIVRE KOREA","VIVRE KOREA 비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","2","비브르 썬더 유선청소기 V16 후기 살펴보기, 놀라운 성능과 만족감","https://blog.naver.com/assist1842/224132760650","assist1842님의 블로그","2026.01.03.","10","10","1880","https://naver.me/5PlCoOsQ / 🔧 재질과 내구성 체크 / 🎨 디자인과 편의성 점검 / 🚀 성능과 기능성 분석 / 💰 가격 대비 만족도 / ⭐ 총평 및 추천 대상 정리 / https://naver.me/5PlCoOsQ","체험형, 추천형, 정보형, 비교형","언박싱, 사용 장면, 장단점, 추천 대상, 구매 유도, 소제목 반복"
"가전/청소/주방가전","4","비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","VIVRE KOREA","VIVRE KOREA 비브르 썬더 유선청소기 유선스틱청소기 헤파필터포함 V16","3","비브르 썬더 유선청소기 V16 화이트 편안함과 실용성 장단점 비교로 선택 가이드 제공","https://blog.naver.com/wznhzertb778/223633943818","박상호","2024.10.26.","0","8","5287","※ 이 리뷰는 제가 직접 사용해보고 느낀 솔직한 후기입니다. ​ 🙌 / ■ 비브르 썬더 유선청소기, v16, 화이트 ■ / ---------------------------------------- / 오늘의 핫딜 Best 51% / (⭐ 별점 ⭐ 총 4.5점 | 💬 후기 💬 총 439개 ) / ---------------------------------------- / 🚀 빠른 주문 내일 도착 🚀 / ■ 비브르 BLDC 무선 진공 청소기 VBC15, 화이트 ■","체험형, 추천형, 정보형, 비교형","결론/요약, 언박싱, 사용 장면, 장단점, 추천 대상, 구매 유도"
"가전/청소/주방가전","5","쿠쿠 파워클론 Slim 무선청소기 CVC-G820NWM 노블화이트","쿠쿠전자","쿠쿠전자 무선청소기 후기","1","가벼운 무선청소기 선택, 쿠쿠 파워클론 사용 후기","https://blog.naver.com/itexpert/224307730480","아전","4주 전","10","10","2445","1. 흡입 성능과 청소 방식 / 2. 무게와 디자인, 수납 / 3. 필터·먼지통 관리 구조 / 4. 어떤 환경에 잘 맞는 제품인가 / 아래는 쿠쿠 파워클론 Slim 무선청소기 노블화이트 주요 스펙을 간단히 정리한 표입니다. ​ ​ / 약 1.85kg / 220V 60Hz 가정용 전원 / 독립형 거치대 충전 / ​ 감사합니다. ​ #가벼운무선청소기 #쿠쿠파워클론 #쿠쿠무선청소기 ​","체험형, 추천형, 정보형, 비교형","사용 장면, 장단점, 추천 대상, 구매 유도, 소제목 반복, 사진 다량"
"가전/청소/주방가전","5","쿠쿠 파워클론 Slim 무선청소기 CVC-G820NWM 노블화이트","쿠쿠전자","쿠쿠전자 무선청소기 후기","2","쿠쿠 무선청소기 살만할까? 자취생 가성비 무선청소기 장점 단점 정리","https://blog.naver.com/wncksdptn/224310611474","생활정보 전파소","4주 전","10","10","5958","콘센트 옮겨 꽂을 필요가 적어서 편함 / 적당한 사용시간 / 원룸, 오피스텔 청소에는 긴 시간이 필요하지 않음 / 청소 후 먼지 비우기가 쉬워야 함 / 자취 초반에는 살 게 많아서 가격 부담이 중요함 / 작은 방에서는 보관 공간도 중요함 / 3. 쿠쿠 무선청소기의 장점 / 👉 쿠쿠 초강력 BLDC 파워클론","체험형, 추천형, 정보형, 비교형","결론/요약, 언박싱, 사용 장면, 장단점, 추천 대상, 구매 유도"
